,Mean_ASBO,Lower_ASBO,Upper_ASBO,Mean_CBO,Lower_CBO,Upper_CBO,Mean_SCBO,Lower_SCBO,Upper_SCBO,Mean_FDBO,Lower_FDBO,Upper_FDBO
iter_1,-2.2462637778249936,-2.332111384944668,-2.174617182983508,-2.240879422926457,-2.3142024142943804,-2.178166016717158,-2.404494603131249,-2.4807737342716893,-2.3396326905824862,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_2,-3.27088550466594,-3.3546585282817545,-3.2006883454755037,-3.7740068702254352,-3.8758089740262713,-3.6915945794040623,-4.183487448014561,-4.27812199481527,-4.105829829992064,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_3,-3.550987704571518,-3.6397637971302617,-3.4773149579412417,-4.136313015193909,-4.223444315053167,-4.063775416428736,-4.742118595748766,-4.854859219922231,-4.652695365433832,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_4,-3.98765981644933,-4.0611953951724455,-3.924791058163163,-4.577761602004075,-4.700956185258177,-4.4819014531623385,-4.800463947370485,-4.884680817357653,-4.729955698909436,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_5,-4.315518613946091,-4.421822913682861,-4.230185537835397,-5.119136957434918,-5.253860229265553,-5.016460317376293,-4.800463947370485,-4.884680817357653,-4.729955698909436,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_6,-4.68403937998558,-4.794333629490736,-4.596159107756592,-5.4855141019732985,-5.6107199721777885,-5.388443887642351,-4.801354595572359,-4.885156535817327,-4.731137152415533,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_7,-5.0093335138475865,-5.1262891214256925,-4.917284778750769,-5.610108294662918,-5.735504864401142,-5.512923813268785,-4.852713708877653,-4.9252524998309894,-4.7905745115450875,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_8,-5.163386929550054,-5.272110026590705,-5.076505112914935,-5.671038232370675,-5.798463882290507,-5.572642878421337,-4.861247175189623,-4.933313561232141,-4.7994547514469845,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_9,-5.238618782665492,-5.353970484800003,-5.147564247258339,-5.719113484668283,-5.848545172979866,-5.619529843777789,-4.950746110170036,-5.020511608196595,-4.890652072973115,0.2827665489077059,0.19085261987330937,0.358584853609719
iter_10,-5.277492252278819,-5.390861338455476,-5.187674924251415,-5.7347111812486276,-5.863967941638037,-5.635230812434812,-4.981262694262275,-5.048779027728689,-4.9228440790343235,0.2815512778829327,0.18971683472778345,0.3573155538863739
iter_11,-5.306857451081448,-5.414975520260023,-5.22036170442431,-5.7414514946799855,-5.871575177389573,-5.641459969159972,-5.028069706492859,-5.0921253061716,-4.972258853483653,0.2815512778829327,0.18971683472778345,0.3573155538863739
iter_12,-5.341197829420149,-5.449718318598489,-5.254445199329064,-5.743334605457353,-5.874407240385708,-5.642785411733062,-5.04974881687393,-5.116661505987702,-4.991782447041132,0.2815512778829327,0.18971683472778345,0.3573155538863739
iter_13,-5.353329742090104,-5.463214432234312,-5.265709172866661,-5.748772598312921,-5.8789823472830465,-5.6487304146384405,-5.061552881594667,-5.129508854535338,-5.0028055831126546,-0.23865248931668342,-0.42271618972149794,-0.10978175070639531
iter_14,-5.355811698696318,-5.4657556173754225,-5.268153547694635,-5.7559372501171016,-5.884400465059254,-5.6569261981516625,-5.133846714678031,-5.212655711366691,-5.06716601293024,-0.32837183339653,-0.5530922055580969,-0.18101889118315637
iter_15,-5.360461661819222,-5.470822839277698,-5.272538988369682,-5.762547837023097,-5.888434911360364,-5.6650698137808355,-5.1416473597644705,-5.221751409454606,-5.074042623106247,-0.45144922147922995,-0.7154865088195037,-0.28842385486534694
iter_16,-5.365953532312032,-5.476750472507324,-5.277755048573473,-5.765453812847832,-5.890530962499995,-5.668460773182902,-5.143938490235064,-5.223523046375156,-5.076703851102639,-0.4751855398396499,-0.7597497065693555,-0.30472460483364755
iter_17,-5.368997783583348,-5.4782250563445505,-5.281794923051074,-5.770008332879858,-5.895395164288424,-5.672829684744009,-5.157884998333295,-5.237490319320208,-5.09063555135961,-0.5443583792556068,-0.8814513407632719,-0.35688223663192764
iter_18,-5.3694699112802775,-5.4788724746297675,-5.2821555737966435,-5.771350711622153,-5.896050675355605,-5.674584025376951,-5.164586152371687,-5.244546860118022,-5.097083459648363,-0.6198791617774685,-0.9586857730830642,-0.43189223077532135
iter_19,-5.370352692594327,-5.4793572747191055,-5.283291559532216,-5.774162704905203,-5.898351071608475,-5.677703536941086,-5.164586152371687,-5.244546860118022,-5.097083459648363,-0.6640135955197666,-1.0517245638760149,-0.462488966177674
iter_20,-5.375230017172912,-5.482352377038445,-5.289371557880318,-5.774354742010743,-5.898449054840038,-5.677952172489147,-5.164586152371687,-5.244546860118022,-5.097083459648363,-0.7084480627753978,-1.1353149002071128,-0.49738770590954456
iter_21,-5.37561114250682,-5.4827261445546664,-5.289757401391358,-5.77644121956085,-5.900156484646661,-5.680266947307323,-5.1745441469512725,-5.257657879300746,-5.104810080906747,-0.8286209072943244,-1.3643380912491418,-0.5959452572590987
iter_22,-5.379842568463813,-5.486259383828528,-5.294437134939194,-5.7770961221894686,-5.900528366038072,-5.681092519601764,-5.19886767659455,-5.289143187230864,-5.12416641633348,-1.1450485596502222,-2.085562730614017,-0.8696633721315139
iter_23,-5.392731876982089,-5.497931029679128,-5.3081111477150165,-5.778680332332461,-5.902834010643733,-5.682242036385062,-5.215945830408517,-5.309781772149815,-5.138826120607921,-1.338624912584253,,-1.003576791800956
iter_24,-5.399782918523132,-5.506903506184687,-5.313925595638694,-5.7889863784648625,-5.911847106616557,-5.693327959900402,-5.227172575464657,-5.324221113175822,-5.147899004155827,-1.4452419377163066,,-1.0667195164553884
iter_25,-5.399782918523132,-5.506903506184687,-5.313925595638694,-5.7889863784648625,-5.911847106616557,-5.693327959900402,-5.230184632483053,-5.327756757629655,-5.1505625384766915,-1.4452419377163066,,-1.0667195164553884
iter_26,-5.4043930244763505,-5.510159212786976,-5.319406427550994,-5.7946976357619855,-5.918202428053312,-5.6986502674528845,-5.230184632483053,-5.327756757629655,-5.1505625384766915,-1.4832445784333617,,-1.082852882437015
iter_27,-5.406212386326515,-5.5118241414795275,-5.321325356251129,-5.794811951483132,-5.918270783629966,-5.698792307823716,-5.230184632483053,-5.327756757629655,-5.1505625384766915,-1.4832445784333617,,-1.082852882437015
iter_28,-5.416588588015441,-5.521705388164352,-5.33202106037819,-5.794851809804391,-5.918292809957669,-5.698842924248464,-5.235802285191514,-5.334256340480482,-5.155594718945828,-1.4832445784333617,,-1.082852882437015
iter_29,-5.421113119386449,-5.523766230991152,-5.33814490418332,-5.7950434985612285,-5.918507811446178,-5.699020548495803,-5.235802285191514,-5.334256340480482,-5.155594718945828,-2.6693060840618825,,-2.1980143730055786
iter_30,-5.421113119386449,-5.523766230991152,-5.33814490418332,-5.7950434985612285,-5.918507811446178,-5.699020548495803,-5.235802285191514,-5.334256340480482,-5.155594718945828,-13.706193267034372,-13.835306533086019,-13.606797662283553
iter_31,-5.424417672977956,-5.52589269563016,-5.342219529030727,-5.795820975846923,-5.919186381237324,-5.6998577047394905,-5.239952524217913,-5.339719910282267,-5.158876753886175,,,
iter_32,-5.426327516785137,-5.5270045603961755,-5.34465294811369,-5.795820975846923,-5.919186381237324,-5.6998577047394905,-5.245687999473054,-5.34632661240164,-5.164038686438659,,,
iter_33,-5.426327516785137,-5.5270045603961755,-5.34465294811369,-5.795820975846923,-5.919186381237324,-5.6998577047394905,-5.253957925784614,-5.357737401072334,-5.1702566705694,,,
iter_34,-5.429104428128023,-5.529702989007915,-5.347481440191726,-5.795820975846923,-5.919186381237324,-5.6998577047394905,-5.268489725690573,-5.377513056661089,-5.1814166556756325,,,
iter_35,-5.437377698439902,-5.5388177833844106,-5.3552024447225675,-5.801451204091322,-5.9245605778731205,-5.705642519005752,-5.268489725690573,-5.377513056661089,-5.1814166556756325,,,
iter_36,-5.437377698439902,-5.5388177833844106,-5.3552024447225675,-5.8037227484508565,-5.926246820521723,-5.708268004775703,-5.268489725690573,-5.377513056661089,-5.1814166556756325,,,
iter_37,-5.437377698439902,-5.5388177833844106,-5.3552024447225675,-5.803879120308652,-5.926337712758989,-5.708464020855582,-5.268489725690573,-5.377513056661089,-5.1814166556756325,,,
iter_38,-5.437377698439902,-5.5388177833844106,-5.3552024447225675,-5.803990925926392,-5.926401048941094,-5.70860517816804,-5.268489725690573,-5.377513056661089,-5.1814166556756325,,,
iter_39,-5.441070615894776,-5.542417926339248,-5.3589561602863105,-5.803990925926392,-5.926401048941094,-5.70860517816804,-5.268489725690573,-5.377513056661089,-5.1814166556756325,,,
iter_40,-5.444288513935217,-5.543749116987909,-5.3634151586321215,-5.803990925926392,-5.926401048941094,-5.70860517816804,-5.268489725690573,-5.377513056661089,-5.1814166556756325,,,
iter_41,-5.447597971083496,-5.546194191104148,-5.367296213260162,-5.805373585637567,-5.927300272760917,-5.710280880826149,-5.268489725690573,-5.377513056661089,-5.1814166556756325,,,
iter_42,-5.456278216725168,-5.553896672065264,-5.37662531700141,-5.813634339940785,-5.933573277042553,-5.7197520707797045,-5.268804388155961,-5.377933093271717,-5.181664244568203,,,
iter_43,-5.456278216725168,-5.553896672065264,-5.37662531700141,-5.815314086001659,-5.934588006000746,-5.7218387729956195,-5.268804388155961,-5.377933093271717,-5.181664244568203,,,
iter_44,-5.459970030328357,-5.556876585204395,-5.380791089717376,-5.816158772225461,-5.935085645791789,-5.7228962330778215,-5.268804388155961,-5.377933093271717,-5.181664244568203,,,
iter_45,-5.459970030328357,-5.556876585204395,-5.380791089717376,-5.818501695195125,-5.936856290111293,-5.725590619379459,-5.268804388155961,-5.377933093271717,-5.181664244568203,,,
iter_46,-5.461853462335332,-5.559588727002055,-5.382122918425937,-5.819989674471107,-5.937720836043952,-5.727462330605948,-5.268804388155961,-5.377933093271717,-5.181664244568203,,,
iter_47,-5.468326247302552,-5.566604393477534,-5.388235301043107,-5.820032475799504,-5.93775459306421,-5.727510705384915,-5.268804388155961,-5.377933093271717,-5.181664244568203,,,
iter_48,-5.4765458872622625,-5.572025700013859,-5.398320731369754,-5.823159846560504,-5.941183633188564,-5.73045227705263,-5.268804388155961,-5.377933093271717,-5.181664244568203,,,
iter_49,-5.478370900304442,-5.572948673939594,-5.4007514677769635,-5.826202145398717,-5.9437228654877625,-5.733804532286478,-5.268804388155961,-5.377933093271717,-5.181664244568203,,,
iter_50,-5.478370900304442,-5.572948673939594,-5.4007514677769635,-5.826202145398717,-5.9437228654877625,-5.733804532286478,-5.268804388155961,-5.377933093271717,-5.181664244568203,,,
iter_51,-5.480394286315056,-5.574214816301831,-5.403284973545388,-5.826616990237701,-5.943965982127471,-5.734325317649996,-5.2697611968623255,-5.379350875823574,-5.182327943428829,,,
