obj,x_1,x_2,iterations,state
2.273718285837235e-09,-3.999553957729199,-6.001118271714697,1017,True
6.045914024263069e-08,-3.9963856157981725,-6.001469058741061,848,True
4.3353334222760574e-07,-4.000065829661057,-5.9802474641165295,700,True
1.2212031353409215e-09,-4.000519349422638,-5.999857917169835,1143,True
2.0431619313558552e-09,-4.000675410836921,-5.999881144862555,1100,True
1.5282820950781243e-08,-3.998218541476013,-5.998970358817371,962,True
1.050532485212042e-08,-4.001406347210858,-5.998757606158677,936,True
5.934795661578241e-09,-4.000342838009062,-5.997792928525492,942,True
4.3208194800461e-08,-4.001279580536395,-6.005686657183614,907,True
1.3648691318486474e-08,-4.001742641120248,-5.999630365192773,976,True
5.773529147784096e-09,-3.9997414221822365,-5.997779926514359,887,True
3.4511742845588796e-09,-4.000660901655088,-5.998834284397758,1025,True
1.2469987633223554e-09,-4.000231278752248,-6.0009530684351216,1142,True
4.259690320440251e-08,-4.002588245259673,-6.0033972281034815,688,True
1.322126850470475e-09,-4.0000845079518115,-6.0010776584754675,988,True
4.602123715204339e-08,-3.9991436386317476,-6.006203683926886,881,True
2.6108216753056925e-09,-3.9995054861811976,-6.001171137839808,1045,True
3.4412252873831025e-09,-4.000135537738354,-6.001738856188583,1010,True
1.4352196551412044e-09,-4.0003219748309595,-5.999063503057913,983,True
4.277237611157945e-08,-4.0000810168905785,-6.006202328881494,924,True
8.842837328563811e-08,-4.001506783437526,-6.008396663066163,882,True
5.1309745245302544e-08,-4.003287994900417,-6.001713221777843,666,True
3.4975457489407423e-07,-3.9926337190159584,-6.00988588565892,708,True
9.190046652695796e-10,-3.9997108611685084,-6.000701925311724,1119,True
8.543354761629811e-09,-4.000933783868894,-6.002049685349081,852,True
6.496917063756029e-09,-4.0010865253218135,-5.998939303880649,966,True
8.442454101889212e-08,-4.002580788058069,-6.007024259314285,816,True
9.855030301827542e-09,-4.0014384817348185,-5.999230189331059,1069,True
1.1325131193426959e-08,-3.999360312878223,-6.002925033268019,815,True
6.2457881835344e-10,-4.0002388059236536,-6.000577934131047,1012,True
2.7315931997623107e-09,-3.999622855755227,-5.998625415424818,920,True
1.483008289553272e-08,-3.99899941608161,-5.996943465705245,997,True
3.0453756438013223e-09,-4.000794885764492,-5.99953797774399,891,True
3.6824389511670535e-11,-4.000005863720737,-5.999818328819907,1133,True
6.8174937442878854e-09,-3.998801388964696,-6.000623755331877,991,True
2.8464998614616377e-08,-3.9982859101788866,-5.996276281013048,571,True
2.7333122283120488e-09,-4.000331349443891,-5.998578447612779,1048,True
7.2807633417113176e-09,-3.99919047299146,-5.998017236499903,990,True
2.155156864575554e-09,-4.0002894506192135,-6.001266694333399,973,True
3.923764219981149e-09,-4.000800527848912,-5.999016125795416,955,True
9.48779692484844e-08,-4.004378087275785,-5.997047106580647,861,True
8.123892638632099e-10,-3.999585830934965,-6.000212146835351,1170,True
4.81201394571378e-09,-3.999222621058445,-5.998616692197646,975,True
4.591254129329364e-09,-3.999035190005251,-5.999360707099573,1058,True
1.7384435032200792e-09,-4.000495839539644,-6.000762346218329,1051,True
1.058694427385111e-10,-4.00015411954503,-6.000016466991934,1007,True
7.841271106741688e-10,-3.9996768362993524,-6.000536633291871,1061,True
2.2844890349931962e-09,-4.000196036069516,-5.99862075398522,1004,True
1.6596023584561628e-09,-4.0006045904359695,-5.9998224507348725,925,True
4.064399142895769e-08,-3.997858404208691,-6.004270112662759,826,True
3.5750363950488213e-09,-4.000821953890929,-6.000717704646974,913,True
3.7662698763552296e-09,-3.9992448041041926,-5.998947213447777,1068,True
1.589204013657255e-08,-3.998751306613013,-6.002840052010809,905,True
2.8524231147321994e-07,-4.001916258942773,-5.984442690239542,731,True
7.632620015905353e-08,-4.003112182593126,-5.994527262278227,914,True
9.47447520221388e-09,-4.0014372557017515,-5.999485984559457,1036,True
1.0468829210598865e-08,-3.9986902416838297,-6.001600024656822,867,True
4.217914357760674e-08,-4.003060270537961,-6.0007072525417255,884,True
1.0672508808596712e-09,-4.000488816377983,-6.000068992660737,1085,True
1.5928800843955508e-09,-3.9994624261215934,-5.999473075549079,930,True
1.4506824401588586e-08,-4.001033136624242,-5.99703577045018,886,True
9.474518322840802e-09,-3.9989188470560877,-5.998037476181537,967,True
1.6608239533800793e-09,-4.000608774311302,-6.000110981573408,1030,True
3.207371637729261e-07,-4.000339937668322,-5.983023509876237,767,True
7.51623939096151e-09,-4.000866100492075,-6.0019401276252795,1033,True
5.278941913545012e-08,-3.9985819776883007,-5.993717697228244,880,True
1.4489545333678083e-08,-3.9998925452157583,-5.9963952247396435,956,True
7.260722270377822e-09,-4.001196227333442,-5.999099549718061,955,True
2.997654087082425e-09,-4.000142193813747,-6.001617718255971,955,True
1.6800193160055882e-08,-3.9981225338674498,-6.001010275966539,884,True
5.153946391783563e-08,-3.9983003155954253,-6.005901678509159,874,True
5.570196396901078e-09,-3.998999053598853,-5.998997202929134,881,True
4.512651644262964e-10,-4.000300133668555,-6.000214050863075,1125,True
2.1687857797911157e-06,-3.983527828809083,-6.0294376885444585,500,True
2.3043355569695804e-09,-4.000051927304467,-6.001436355186393,1039,True
1.1485538182261182e-08,-4.00135112816564,-6.001742066325972,891,True
5.814815144654767e-10,-4.000250838966242,-6.000521203045921,903,True
6.2831274727697064e-09,-4.001138986764783,-5.999317613508274,950,True
9.65152554554469e-12,-4.0000118227637085,-5.999909848671535,1042,True
9.176614996978379e-10,-4.000332107736127,-5.9993797475061355,964,True
1.818498416850992e-08,-3.998842557426508,-5.996682200652853,900,True
1.7151365914196879e-09,-3.999751656018775,-5.998861174288913,1059,True
3.0796653598677735e-09,-3.9991964173892023,-5.9995655822582155,904,True
2.917963335588478e-07,-4.000776311633288,-5.983869096082517,788,True
1.9626125795074636e-08,-4.000816034449284,-6.003872965830717,866,True
9.554398550912952e-09,-4.000249598560462,-5.99711040471168,939,True
5.1069693642129606e-09,-4.000088603870823,-6.002136555602856,881,True
9.455377465030715e-09,-3.998928955491937,-5.998019774163,1032,True
4.6374686918888396e-08,-3.9983365452955573,-5.99446204983662,861,True
4.632489002591184e-09,-4.0008533491142435,-5.998879098015345,1018,True
1.1850144562761252e-08,-4.000373187078017,-6.003179316864625,929,True
3.575493898432859e-07,-4.008959445645037,-6.000841300061479,771,True
1.8323896386370802e-11,-4.000020164257289,-5.999878077411201,1110,True
8.494299970332894e-09,-4.00132797545958,-5.999231368301256,941,True
3.291572506292222e-08,-4.002705393685844,-6.000589518935245,933,True
2.0085179177741525e-10,-3.9998350085887644,-6.00026810063311,1027,True
1.0200769743740543e-10,-3.999986205808588,-5.999698262019581,1151,True
4.120947743999122e-09,-3.9994347996524415,-6.0015591815924,984,True
5.029038596785745e-08,-4.001226723961653,-5.9937356611954105,795,True
3.5353201176322896e-06,-3.972533572125256,-5.98718713673393,596,True
